 i	    x_i	      y_exact	   y_interp	   |error|
---------------------------------------------------------------
 0	  0.000000	        -inf	  0.50000000	         inf
 1	  0.100000	 -1.59045105	  0.55688000	  2.14733105
 2	  0.200000	 -0.90675813	  0.61604000	  1.52279813
 3	  0.300000	 -0.36834761	  0.67976000	  1.04810761
 4	  0.400000	  0.18239714	  0.75032000	  0.56792286
 5	  0.500000	  0.80048620	  0.83000000	  0.02951380
 6	  0.600000	  1.51323341	  0.92032000	  0.59291341
 7	  0.700000	  2.33340885	  1.01976000	  1.31364885
 8	  0.800000	  3.26158243	  1.12604000	  2.13554243
 9	  0.900000	  4.28585201	  1.23688000	  3.04897201
10	  1.000000	  5.38136452	  1.35000000	  4.03136452
